trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.002, 'e': 0.7089289280495107}",20,4,14.003890162440383,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.002, 'e': 0.7075124871065016}",25,5,-97.63153218580337,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",1
174,False,"{'a': 0.002, 'e': 0.7060988762143844}",25,0,-77.01018257321978,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
175,False,"{'a': 0.002, 'e': 0.7046880897187134}",25,7,-75.07480518560797,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
176,False,"{'a': 0.002, 'e': 0.7032801219763409}",20,9,-32.22810114638778,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
177,False,"{'a': 0.002, 'e': 0.701874967355394}",25,17,-47.77787919552562,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.002, 'e': 0.7004726202352524}",25,0,-120.82565091295828,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
179,False,"{'a': 0.002, 'e': 0.6990730750065257}",25,14,-15.874559958020015,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
180,False,"{'a': 0.002, 'e': 0.697676326071031}",30,0,-152.91438265307812,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
181,False,"{'a': 0.002, 'e': 0.696282367841771}",30,0,-283.1432678689242,"{0: 15, 1: 4, 2: 2, 3: 5, 4: 4}",0
